id,name,operator,status,pointSource,pointSourceName,mapSource,digitizedBy,digitizedDate,siteType,cameraHeightFeet,notes,longitude,latitude
digitized-camera-78,Chilcoot,EnviroVision Solutions,Operational,ODF_sites,Chilcoot,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-122.731294,43.432306
digitized-camera-79,Table Mountain,EnviroVision Solutions,Operational,ODF_sites,Table Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-122.842707,43.628028
digitized-camera-80,Roman Nose,EnviroVision Solutions,Operational,ODF_sites,Roman Nose,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.738506,43.912253
digitized-camera-81,Walker Point,EnviroVision Solutions,Operational,ODF_sites,Walker Point,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-123.629118,44.06661
digitized-camera-82,Mt Nebo,EnviroVision Solutions,Operational,ODF_sites,Mt. Nebo,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-122.715185,44.153031
digitized-camera-83,Scott Mountain,EnviroVision Solutions,Planned,ODF_sites,Mt. Scott (Linn County),Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-122.863657,44.3988
digitized-camera-84,Geneva,EnviroVision Solutions,Operational,ODF_sites,Geneva,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-121.39161,44.537863
digitized-camera-85,Crescent Butte,EnviroVision Solutions,Operational,ODF_sites,Crescent Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-121.668026,43.462753
digitized-camera-86,Hamelton,EnviroVision Solutions,Operational,ODF_sites,Hamelton,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-121.350767,42.785259
digitized-camera-87,Middle Mountain,EnviroVision Solutions,Operational,ODF_sites,Middle Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-121.597205,45.579332
digitized-camera-88,Wasco Butte,EnviroVision Solutions,Operational,ODF_sites,Wasco Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-121.335121,45.616717
digitized-camera-89,Monument Mountain,EnviroVision Solutions,Operational,ODF_sites,Monument Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-119.42581,44.862053
digitized-camera-90,Carney Butte,EnviroVision Solutions,Operational,ODF_sites,Carney Butte,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,,-118.948755,45.281554
digitized-camera-91,Tiptop,EnviroVision Solutions,Operational,ODF_sites,Tip Top,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-118.421597,45.44502
digitized-camera-92,Weston High,EnviroVision Solutions,Operational,ODF_sites,Weston,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,name mismatch,-118.37586,45.800118
digitized-camera-93,King Mountain,EnviroVision Solutions,Operational,ODF_sites,King Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,ref point offset to west by about 1.35 miles from location of actual tower in imagery,-123.20319,42.713816
digitized-camera-94,Bald Mountain,EnviroVision Solutions,Operational,ODF_sites,Bald Mountain,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,,questionable tower?,-117.893451,44.574343
digitized-camera-95,Round Top,Joint Site,Operational,PGE_WF_Cameras,Portland Round Top,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,120,"name mismatch, height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-123.36255,45.677163
digitized-camera-96,Pumpkin Ridge,Pano AI,Operational,PGE_WF_Cameras,Pumpkin Ridge,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,150,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-123.040147,45.690383
digitized-camera-97,Lodge Road,Pano AI,Operational,PGE_WF_Cameras,Lodge Road,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,200,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-123.098325,45.645456
digitized-camera-98,Hayward,Pano AI,Operational,PGE_WF_Cameras,Hayward,Oregon Wildfire Detection Network Map - PDF,Mason Weybright,2026-09-14,,180,"height pulled from ""Description"" column of PGE-towers_reduced.csv sheet",-123.217592,45.642162
