Name,County,Lat,Long,Type,Status,NHLR/FFLOS
"Stella, Mount",Jackson,42.93754,-122.43469,Tower,Standing,"NHLR US 496, OR 89"
Stubblefield Butte (USFWS),Harney,43.17083,-118.91706,Tower,Standing,
Sugarloaf Mountain,Harney,43.91573,-119.23928,Tower,Standing,"NHLR US 427, OR 52"
Sugarpine Mountain,Klamath,43.11696,-121.60711,Tower,Standing,"NHLR US 1641, OR 159"
Summit Point,Baker,44.98287,-117.23926,Tower,Standing,"NHLR US 1642, OR 160"
Table Mountain,Jackson,42.19776,-122.49288,Tower,Standing,"NHLR US 1643, OR 161"
Table Rock,Baker,44.33403,-118.31656,Ground,Standing,"NHLR US 263, OR 31"
Tamarack Mountain,Grant,44.87379,-119.66146,Tower,Standing,"NHLR US 1516, OR 130"
Tope Creek,Wallowa,45.65276,-117.40341,Tower,Standing,"NHLR US 222, OR 28"
Tower Mountain,Umatilla,45.05430,-118.56890,Tower,Standing,"NHLR US 142, OR 20"
Tower Point,Crook,44.05735,-120.29569,Tower,Standing,"NHLR US 1644, OR 162"
Trout Creek Butte,Deschutes,44.24114,-121.66957,Tower,Standing,"NHLR US 506, OR 98"
Unity Ranger Station,Baker,44.43675,-118.18814,Tower,Standing,"NHLR US 1645, OR 163"
Wagontire Mountain,Harney,43.34877,-119.89151,2-Story cab,Standing,"NHLR US 954, OR 126"
Waldo Mountain,Lane,43.76522,-122.09898,Ground,Standing,"NHLR US 135, OR 19"
Walker Mountain,Klamath,43.30521,-121.71696,Tower,Standing,"NHLR US 145, OR 21"
Warner Ridge,Lane,43.54340,-122.36640,Tower,Standing,"NHLR US 84, OR 11"
"Watchman, The",Klamath,42.94294,-122.17237,2-Story cab,Standing,"NHLR US 401, OR 48"
West Myrtle Butte,Grant,43.97464,-119.16028,Tower,Standing,"NHLR US 428, OR 53"
White Point,Jackson,42.77075,-122.55270,Tower,Standing,"NHLR US 507, OR 99"
Wildhorse,Curry,42.47100,-124.16032,Tower,Standing,"NHLR US 509, OR 101"
Wolf Mountain,Wheeler,44.32820,-119.71545,Tower,Standing,"NHLR US 902, OR 115"
Yainax Butte,Klamath,42.32651,-121.26976,Tower,Standing,"NHLR US 1646, OR 164"
ZX Ranch,Lake,42.78413,-121.06784,Tower,Standing,"NHLR US 1647, OR 165"
