Name,County,State,Lat,Long,Type,Status,NHLR/FFLOS
Tamarack Mountain,Grant,OR,44.87379,-119.66146,Tower,Standing,"NHLR US 1516, OR 130"
Tope Creek,Wallowa,OR,45.65276,-117.40341,Tower,Standing,"NHLR US 222, OR 28"
Tower Mountain,Umatilla,OR,45.05430,-118.56890,Tower,Standing,"NHLR US 142, OR 20"
Tower Point,Crook,OR,44.05735,-120.29569,Tower,Standing,"NHLR US 1644, OR 162"
Trout Creek Butte,Deschutes,OR,44.24114,-121.66957,Tower,Standing,"NHLR US 506, OR 98"
Unity Ranger Station,Baker,OR,44.43675,-118.18814,Tower,Standing,"NHLR US 1645, OR 163"
Wagontire Mountain,Harney,OR,43.34877,-119.89151,2-Story cab,Standing,"NHLR US 954, OR 126"
Waldo Mountain,Lane,OR,43.76522,-122.09898,Ground,Standing,"NHLR US 135, OR 19"
Walker Mountain,Klamath,OR,43.30521,-121.71696,Tower,Standing,"NHLR US 145, OR 21"
Warner Ridge,Lane,OR,43.54340,-122.36640,Tower,Standing,"NHLR US 84, OR 11"
"Watchman, The",Klamath,OR,42.94294,-122.17237,2-Story cab,Standing,"NHLR US 401, OR 48"
West Myrtle Butte,Grant,OR,43.97464,-119.16028,Tower,Standing,"NHLR US 428, OR 53"
White Point,Jackson,OR,42.77075,-122.55270,Tower,Standing,"NHLR US 507, OR 99"
Wildhorse,Curry,OR,42.47100,-124.16032,Tower,Standing,"NHLR US 509, OR 101"
Wolf Mountain,Wheeler,OR,44.32820,-119.71545,Tower,Standing,"NHLR US 902, OR 115"
Yainax Butte,Klamath,OR,42.32651,-121.26976,Tower,Standing,"NHLR US 1646, OR 164"
ZX Ranch,Lake,OR,42.78413,-121.06784,Tower,Standing,"NHLR US 1647, OR 165"
"Adams, Mount",Yakima,WA,46.20241,-121.49089,Ground,Standing,"NHLR US 840, WA 58"
Alpine (Nason Ridge),Chelan,WA,47.81202,-120.86579,Ground,Standing,"NHLR US 123, WA 11"
Armstrong Mountain,Okanogan,WA,48.26717,-119.08576,Tower,Standing,"NHLR US 1521, WA 70"
Big Butte,Asotin,WA,46.11540,-117.24929,Tower,Temp*,"NHLR US 364, WA 45"
"Bonaparte, Mount",Okanogan,WA,48.78524,-119.12231,Tower,Standing,"NHLR US 160, WA 20"
Buck Mountain,Okanogan,WA,48.43665,-119.82395,Tower,Standing,"NHLR US 362, WA 43"
Burley Mountain,Lewis,WA,46.40686,-121.86285,Ground,Standing,"NHLR US 356, WA 37"
Clearwater,Garfield,WA,46.20297,-117.57517,Tower,Standing,"NHLR US 1522, WA 71"
Cody Butte,Ferry,WA,48.34129,-118.66240,Tower,Standing,"NHLR US 1523, WA 72"
Columbia Mountain,Ferry,WA,48.62000,-118.48200,Tower,Standing*,"NHLR US 103, WA 9"
"Constitution, Mount",San Juan,WA,48.67750,-122.83113,Stone tower,Standing,"NHLR US 59, WA 3"
Copper Mountain,Whatcom,WA,48.90844,-121.46263,Ground,Standing,"NHLR US 271, WA 29"
Cornell Butte,Okanogan,WA,48.59433,-118.89040,Tower,Standing,"NHLR US 1524, WA 73"
Desolation Peak,Whatcom,WA,48.91128,-121.01643,Ground,Standing,"NHLR US 272, WA 30"
Dodger Point,Clallam,WA,47.87409,-123.50991,Ground,Standing,"NHLR US 1112, WA 65"
Evergreen Mountain,Snohomish,WA,47.83647,-121.26394,Ground,Standing,"NHLR US 206, WA 25"
First Butte,Okanogan,WA,48.61915,-120.10891,Tower,Standing,"NHLR US 358, WA 39"
Franson Peak,Ferry,WA,48.85500,-118.63200,Tower,Standing,"NHLR US 1525, WA 74"
"Fremont, Mount",Pierce,WA,46.93379,-121.67546,2-Story cab,Standing,"NHLR US 477, WA 50"
Funk Mountain,Okanogan,WA,48.59971,-119.74464,Tower,Standing,"NHLR US 361, WA 42"
Goat Peak,Okanogan,WA,48.63216,-120.40399,Tower,Standing,"NHLR US 357, WA 38"
Gobblers Knob,Pierce,WA,46.79406,-121.91472,2-Story cab,Standing,"NHLR US 478, WA 51"
Gold Mountain,Ferry,WA,48.18060,-118.46760,Tower,Standing,"NHLR US 1526, WA 75"
Goodman Hill,Pierce,WA,47.07200,-122.64638,Tower,Standing,"NHLR US 1527, WA 76"
Granite Mountain,King,WA,47.41711,-121.48121,Tower,Standing,"NHLR US 1068, WA 64"
Green Mountain,Snohomish,WA,48.29151,-121.23862,Ground,Standing,"NHLR US 22, WA 1"
Grizzly Mountain,Ferry,WA,48.41936,-118.49920,Tower,Standing,
Hamma Hamma GS,Mason,WA,47.59248,-123.11509,Ground,Standing,
Heybrook,Snohomish,WA,47.81062,-121.52537,Tower,Standing,"NHLR US 1094, WA 60"
Hidden Lake,Skagit,WA,48.49542,-121.20522,Ground,Standing,"NHLR US 175, WA 22"
High Rock,Lewis,WA,46.68438,-121.90130,2-Story cab,Temp*,"NHLR US 387, WA 47"
Indian Mountain,Pend Oreille,WA,48.66340,-117.03919,Tower,Standing,"NHLR US 130, WA 15"
Johnny George,Ferry,WA,47.91140,-118.44375,Tower,Standing,"NHLR US 1547, WA 77"
Jumpoff,Yakima,WA,46.64456,-121.03185,Ground,Standing,"NHLR US 1518, WA 69"
Keller Butte,Ferry,WA,48.06149,-118.79549,Tower,Standing,"NHLR US 1548, WA 78"
Kelly Butte,King,WA,47.16926,-121.49036,Ground,Standing,"NHLR US 910, WA 59"
Kitsap,Kitsap,WA,47.54387,-122.74610,Tower,Standing,
Knowlton Knob,Okanogan,WA,48.16401,-119.90175,Tower,Standing,"NHLR US 360, WA 41"
Leecher Mountain,Okanogan,WA,48.25055,-120.00226,Tower,Standing,"NHLR US 603, WA 55"
Lookout Mountain,Skagit,WA,48.55238,-121.32957,Tower,Standing,"NHLR US 730, WA 57"
Lookout Mountain,Okanogan,WA,48.31322,-120.18753,Tower,Standing,"NHLR US 363, WA 44"
Lookout Point,Spokane,WA,47.81315,-117.51120,Tower,Standing,"NHLR US 326, WA 33"
Meadow Butte,Klickitat,WA,46.01293,-121.41154,Tree cab,Standing,"NHLR US 1550, WA 80"
Mebee Pass,Okanogan/Skagit,WA,48.63729,-120.77396,Ground,Standing,"NHLR US 1551, WA 81"
